"AJAX Refresh","AJAX Refresh"
"Enable Browser 'Back' and 'Forward' Navigation Actions","Enable Browser 'Back' and 'Forward' Navigation Actions"
"Block User Actions Until AJAX Refresh Is Completed","Block User Actions Until AJAX Refresh Is Completed"
"Show 'Please Wait' While AJAX Refresh Is Being Processed","Show 'Please Wait' While AJAX Refresh Is Being Processed"
"Apply Filters","Apply Filters"
"Scroll To Top","Scroll To Top"
"Google Analytics Account ID","Google Analytics Account ID"
"After Each Click","After Each Click"
"After Pressing 'Apply' Button","After Pressing 'Apply' Button"
"Never","Never"
"After Pager Clicks","After Pager Clicks"
"After Any AJAX Action","After Any AJAX Action"
"Apply","Apply"
"Apply filters","Apply filters"
"Used to track layered navigation AJAX refresh requests. Leave empty if standard setting in Google API section is filled in.","Used to track layered navigation AJAX refresh requests. Leave empty if standard setting in Google API section is filled in."
"AJAX Activity In Browser Console","AJAX Activity In Browser Console"
"",""
"",""
"",""
"",""
"",""
