"Show Filters In Following Positions","Show Filters In Following Positions"
"In Main Sidebar","In Main Sidebar"
"In Additional Sidebar","In Additional Sidebar"
"Above Products","Above Products"
"Horizontal Laid Filters","Horizontal Laid Filters"
"Drop Down Menu","Drop Down Menu"
"By Default Show Filters","By Default Show Filters"
"Show Applied Filter","Show Applied Filter"
"Filter Positioning","Filter Positioning"
"Show 'Above Products' Filters As","Show 'Above Products' Filters As"
"Menu Popup Min Width","Menu Popup Min Width"
"Value in pixels (only number). Applied to a part with options which drops down.","Value in pixels (only number). Applied to a part with options which drops down."
"Menu Popup Max Width","Menu Popup Max Width"
"Main","Main"
"Additional","Additional"
"Above","Above"
"",""
