sku,name,store_view_code,dimension,dimensions_mm,i1out,operating_temperature_range,total_output_power_w,v1out_vdc,v2out_vdc,vin_range,series,attribute_set_code,product_type,categories,product_websites,description,short_description,weight,product_online,tax_class_name,visibility,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,country_of_manufacture,as_tran_application,as_tran_depth_mm,as_tran_height_inch,as_tran_height_mm,as_tran_isolation_voltage_vrms,as_tran_mounting_option,as_tran_package_qty,as_tran_package_style,as_tran_package_weght_g,as_tran_turn_ratio,as_tran_turn_ratio_pri,as_tran_turn_ratio_sec,as_tran_turn_ratio_sec2,as_tran_type,as_tran_width_mm,brochure,case,case_drawing,case_material,cfc_cb_i,cfc_cb_m,cfc_d_i,cfc_ul_i,cfc_ul_m,cfc_vde_i,cmc_current_rating_madc,cmc_dc_resistance_max_mom,cmc_depth_mm,cmc_height_mm,cmc_inductance_nom_muh,cmc_mounting_option,cmc_width_mm,color,configurable_dpm,current_ratio_amps,current_shunt,current_transformer,data_sheet,daylight_readable,dc_current_max,dc_resistance,dc_resistance_max,dc_resistance_secondary_max,design_origin,digit_height_inch,digit_height_mm,display_type,dosa,efficiency,enable_googlecheckout,eol_date,face_dim_view,face_view,features,form_factor,humidity,i2out,i3out,i4out,input_current,input_impedance_mohm,isolation_vac,isolation_vdc,isolation_voltage,is_imported,is_recurring,line_regulation_max,load_regulation_max,location,loop_drop_v,manufacturer,max_leakage_inductance,measuring_condition,measuring_range,measurment_type,meter_back_view,meter_dim_view,mounting_type,number_of_digit,output_current_range,output_power_total_w,package_style,pard_typical,pcs_180mm,pcs_330mm,pc_board_view,pinout,pinout_drawning,power_supply_current_ma,power_supply_isolation,power_supply_type,power_supply_v,primary_inductance_typical,production_date,product_brief,product_status,p_tran_dc_resist_secondary_1,p_tran_dc_resist_secondary_2,quality,rated_current_a,rated_output_mv,recom_current_transformer_desc,recom_current_transformer_name,recom_shunt_2_desc,recom_shunt_2_name,recom_shunt_3_desc,recom_shunt_3_name,recom_shunt_desc,recom_shunt_name,recurring_profile,regional_availability,replacement_part,resistance_ohm_25,resolution_v,ripple_noise,rohs_5,rohs_6,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_6c,rohs_exc_7a,rohs_exc_7b,rohs_exc_7c1,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,series_description,series_headline,series_primary,series_status,series_type,shielding,shunt_high_mv,shunt_low_mv,ts_dimensions_height,ts_dimensions_length,ts_dimensions_width,turn_ratio,update_rate_samples_sec,v1in_regulated,v1out_range_vdc,v1out_vdc_number,v2in_regulated,v3out_vdc,v4out_vdc,vin_max,vin_min,vin_nominal,volt_time_product,weight_g,weight_oz,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
8801749,D1U3CS-D-850-12-HC4C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,69.2,-10 to 50,850,12,3.3,40 to 72,N/A,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base","DC/DC 850 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with Back to front Airflow","DC/DC 850 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with Back to front Airflow",0,1,Taxable Goods,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:46 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-d-850-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-d-850-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,87,Yes,,,,,1U x 81.30 x 279.40,,6,,,,,,1500,,No,No,,,T,,,,,,,,,,,,850,,,,,,,/d1u2-d-400-12-ha2c_pinout.gif,,,,,,,,Discontinued,,,CSA/UL 60950-1-07-2nd Ed. | IEC 60950-1:2005 (2nd Edition) w Am. 1:2009 | EN 60950-1:2006 +A11:2009 +A1:2010 | CE Marking per LVD DIRECTIVE 2006/95/EC,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,"The D1U3CS-D-850-12-HxxC series are highly efficient 850 watt, DC input front end supplies with a 12V main output and a 3.3V (20W) standby. They have active current sharing and up to 8 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power for telecom and other 12V distributed power systems that include servers, workstations and storage systems.",81mm 1U Front End DC-DC Power Supply Converter,,,,,,,,,,,,,,12,,,,40,72,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
8801734,D1U3CS-W-1200-12-HA3C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,98.3,-10 to 50,1200,12,5,90 to 264,N/A,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base","AC/DC 1200 Watt, 12V Main Output, 5V Standby Output Front-End Power Supply with  Front to back Airflow","AC/DC 1200 Watt, 12V Main Output, 5V Standby Output Front-End Power Supply with  Front to back Airflow",0,1,Taxable Goods,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:46 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-1200-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-w-1200-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,92,Yes,,,,,1U x 81.30 x 279.40,,4,,,,,,3000,,No,No,,,T,,,,,,,,,,,,1200,,,,,,,/d1u3cs-w-1200-12-hc4c_pinout.gif,,,,,,,,Discontinued,,,CSA/UL 60950-1-07-2nd Ed. | IEC 60950-1:2005 (2nd Edition) w Am. 1:2009 | EN 60950-1:2006 +A11:2009 +A1:2010 | CE Marking per LVD DIRECTIVE 2006/95/EC,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,"The D1U3CS-W-1200-12-HxxC series are 80 PLUS Gold efficiency 1200 watt, power factor corrected front end supplies with a 12V main output and a 5V or 3.3V (20W) standby. They have active current sharing and up to 8 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have status LEDs on their front panel in addition to logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",AC/DC Front End Power Supply,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
8801735,D1U3CS-W-1200-12-HA4C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,98.3,-10 to 50,1200,12,5,90 to 264,N/A,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base","AC/DC 1200 Watt, 12V Main Output, 5V Standby Output Front-End Power Supply with Back to front Airflow","AC/DC 1200 Watt, 12V Main Output, 5V Standby Output Front-End Power Supply with Back to front Airflow",0,1,Taxable Goods,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:46 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-1200-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-w-1200-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,92,Yes,,,,,1U x 81.30 x 279.40,,4,,,,,,3000,,No,No,,,T,,,,,,,,,,,,1200,,,,,,,/d1u3cs-w-1200-12-hc4c_pinout.gif,,,,,,,,Discontinued,,,CSA/UL 60950-1-07-2nd Ed. | IEC 60950-1:2005 (2nd Edition) w Am. 1:2009 | EN 60950-1:2006 +A11:2009 +A1:2010 | CE Marking per LVD DIRECTIVE 2006/95/EC,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,"The D1U3CS-W-1200-12-HxxC series are 80 PLUS Gold efficiency 1200 watt, power factor corrected front end supplies with a 12V main output and a 5V or 3.3V (20W) standby. They have active current sharing and up to 8 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have status LEDs on their front panel in addition to logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",AC/DC Front End Power Supply,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
8801736,D1U3CS-W-1200-12-HC3C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,98.3,-10 to 50,1200,12,3.3,90 to 264,N/A,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base","AC/DC 1200 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with Front to back Airflow","AC/DC 1200 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with Front to back Airflow",0,1,Taxable Goods,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:46 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-1200-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-w-1200-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,92,Yes,,,,,1U x 81.30 x 279.40,,6,,,,,,3000,,No,No,,,T,,,,,,,,,,,,1200,,,,,,,/d1u3cs-w-1200-12-hc4c_pinout.gif,,,,,,,,Discontinued,,,CSA/UL 60950-1-07-2nd Ed. | IEC 60950-1:2005 (2nd Edition) w Am. 1:2009 | EN 60950-1:2006 +A11:2009 +A1:2010 | CE Marking per LVD DIRECTIVE 2006/95/EC,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,"The D1U3CS-W-1200-12-HxxC series are 80 PLUS Gold efficiency 1200 watt, power factor corrected front end supplies with a 12V main output and a 5V or 3.3V (20W) standby. They have active current sharing and up to 8 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have status LEDs on their front panel in addition to logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",AC/DC Front End Power Supply,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
8801737,D1U3CS-W-1200-12-HC4C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,98.3,-10 to 50,1200,12,3.3,90 to 264,N/A,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base","AC/DC 1200 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with Back to front Airflow","AC/DC 1200 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with Back to front Airflow",0,1,Taxable Goods,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:46 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-1200-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-w-1200-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,92,Yes,,,,,1U x 81.30 x 279.40,,6,,,,,,3000,,No,No,,,T,,,,,,,,,,,,1200,,,,,,,/d1u3cs-w-1200-12-hc4c_pinout.gif,,,,,,,,Discontinued,,,CSA/UL 60950-1-07-2nd Ed. | IEC 60950-1:2005 (2nd Edition) w Am. 1:2009 | EN 60950-1:2006 +A11:2009 +A1:2010 | CE Marking per LVD DIRECTIVE 2006/95/EC,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,"The D1U3CS-W-1200-12-HxxC series are 80 PLUS Gold efficiency 1200 watt, power factor corrected front end supplies with a 12V main output and a 5V or 3.3V (20W) standby. They have active current sharing and up to 8 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have status LEDs on their front panel in addition to logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",AC/DC Front End Power Supply,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
8401804,D1U3CS-D-850-12-HC3C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,69.2,-10 to 55,850,12,3.3,90 to 264,N/A,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base",To Be Discontinued,To Be Discontinued,0,1,0,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:54 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-850-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-d-850-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,92,Yes,,,,,1U x 81.30 x 279.40,,6,,,,,,1500,,No,No,,,T,,,,,,,,,,,,850,,,,,,,/d1u3cs-w-850-12-hc4c_pinout.gif,,,,,,,,Discontinued,,,CSA/UL 60950-1-07-2nd Ed. | IEC 60950-1:2005 (2nd Edition) | EN 60950-1:2006 +A11 | CE Marking per LVD DIRECTIVE 2006/95/EC,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,"The D1U3CS-W-850-12-HxxC series are 80 PLUS Gold efficiency 850 watt, power factor corrected front end supplies with a 12V main output and a 3.3V (20W) standby. They have active current sharing and up to 4 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",81mm 1U Front End AC-DC Power Supply Converter,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
8801730,D1U3CS-W-850-12-HC3C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,69.2,-10 to 55,850,12,3.3,90 to 264,D1U3CS-W,AC/DC Power Supplies,simple,Default Category/Removed From Active Categories - status does not contain recommended,"power,murataps,base","AC/DC 850 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with font to back airflow","AC/DC 850 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with font to back airflow",0,1,0,Search,,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:54 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-850-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-w-850-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,93,Yes,,,,,1U x 81.30 x 279.40,,6,,,,,,3000,,No,No,,,T,,,,,,,,,,,,850,,1,,,,,/d1u3cs-w-850-12-hc4c_pinout.gif,,,,,,,,In Production,,,"CSA/UL 60950-1-07-2nd Ed.
IEC 60950-1:2005 (2nd Edition)
EN 60950-1:2006 +A11
CE Marking per LVD DIRECTIVE 2006/95/EC",,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,"The D1U3CS-W-850-12-HxxC series are 80 PLUS Gold efficiency 850 watt, power factor corrected front end supplies with a 12V main output and a 3.3V (20W) standby. They have active current sharing and up to 4 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",81mm 1U Front End AC-DC Power Supply Converter,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
4401731-3,D1U3CS-W-850-12-HC4C,,1U x 3.20 x 11.00,1U x 81.30 x 279.40,69.2,-10 to 55,850,12,3.3,90 to 264,N/A,AC/DC Power Supplies,simple,"Default Category/Power Products/AC-DC Power Supplies/1U Front End/AC-DC,Murata PS/Products/AC-DC Power Supplies/1U Front-End/1U Front End (AC-DC)","power,murataps,base","AC-DC 850 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with back to front airflow","AC/DC 850 Watt, 12V Main Output, 3.3V Standby Output Front-End Power Supply with back to front airflow",0,1,Taxable Goods,"Catalog, Search",,,,,,,"1/18/14, 1:42 AM","1/7/19, 5:46 PM",,,Block after Info Column,,,,,,,,,2 columns with right bar,,,,,,,,,,,,,,,,,,,,/d1u3cs-w-850-12-hc4c_case.gif,,,,,,,,,,,,,,,,,,,,/data/acdcsupplies/d1u3cs-w-850-12-hxxc.pdf,,,,,,Murata Power Solutions,,,,,93,Yes,,,,,1U x 81.30 x 279.40,,6,,,,,,3000,,No,No,,,T,,,,,,,,,,,,850,,1,,,,,/d1u3cs-w-850-12-hc4c_pinout.gif,,,,,,,,Recommended In Production,,,"CSA/UL 60950-1-07-2nd Ed.
IEC 60950-1:2005 (2nd Edition)
EN 60950-1:2006 +A11
CE Marking per LVD DIRECTIVE 2006/95/EC",,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,"The D1U3CS-W-850-12-HxxC series are 80 PLUS Gold efficiency 850 watt, power factor corrected front end supplies with a 12V main output and a 3.3V (20W) standby. They have active current sharing and up to 4 supplies may be operated in parallel. The supplies may be hot plugged, they recover from overtemperature faults, and have logic and PMBus status signals. Their low profile 1U package and >15W/cubic inch power density make them ideal for delivering reliable, efficient power to servers, workstations, storage systems and other 12V distributed power systems.",81mm 1U Front End AC-DC Power Supply Converter,,,,,,,,,,,,,,12,,,,264,90,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,0
MPL0039A,MPL0039A,,1.77 x 3.31 x 0.51,,0.2,-10 to 60,50,40,40,45.6 to 50.4,MPL0039,AC/DC Power Supplies,simple,Murata PS/Products/AC-DC Power Supplies/LED Lighting,"power,murataps,base","<p>8-40V, 0.2-0.45A, 50W, LED lighting DC-DC converters with 48Vdc input, UART</p>","<p>8-40V, 0.2-0.45A, 50W, LED lighting DC-DC converters with 48Vdc input, UART</p>",,1,0,Search,,,,,,,"6/13/18, 10:09 PM","1/7/19, 6:18 PM",,,Block after Info Column,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/data/power/MPL0039.pdf ,,,,,,,,,,,94,Yes,,,,,,,,,,,,,,,No,No,,,F200,,,,,,,,,,,,50,,,,,,,,,,,,,,,Recommended In Production,,,IEEE802.15.4,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,Yes,No,No,No,OPTIONAL,"8-40V, 0.2-0.45A, 50W, LED lighting DC-DC converters with 48Vdc input, UART",,,,,,,,,,,,,,40,,,,45.6,50.4,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
MPL0039B,MPL0039B,,1.77 x 3.31 x 0.51,,0.4,-10 to 60,50,40,40,45.6 to 50.4,MPL0039,AC/DC Power Supplies,simple,Murata PS/Products/AC-DC Power Supplies/LED Lighting,"power,murataps,base","<p>8-40V, 0.4-0.9A, 50W, LED lighting DC-DC converters with 48Vdc input, UART</p>","<p>8-40V, 0.4-0.9A, 50W, LED lighting DC-DC converters with 48Vdc input, UART</p>",,1,0,Search,,,,,,,"6/13/18, 10:09 PM","1/7/19, 6:18 PM",,,Block after Info Column,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/data/power/MPL0039.pdf ,,,,,,,,,,,94,Yes,,,,,,,,,,,,,,,No,No,,,F200,,,,,,,,,,,,50,,,,,,,,,,,,,,,Recommended In Production,,,IEEE802.15.4,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,Yes,No,No,No,OPTIONAL,"8-40V, 0.4-0.9A, 50W, LED lighting DC-DC converters with 48Vdc input, UART",,,,,,,,,,,,,,40,,,,45.6,50.4,,,,,999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
