sku,name,store_view_code,dimension
8971260,,power_store_view,2.3 x 0.9 x 0.5
8971263,,power_store_view,2.3 x 0.9 x 0.5
8970372,,power_store_view,2.3 x 0.9 x 0.5
8970375,,power_store_view,2.3 x 0.9 x 0.5
8981052,,power_store_view,2.3 x 0.9 x 0.5
8981053,,power_store_view,2.3 x 0.9 x 0.5
8981061,,power_store_view,2.3 x 0.9 x 0.5
8981056,,power_store_view,2.3 x 0.9 x 0.5
8981057,,power_store_view,2.3 x 0.9 x 0.5
8981042,,power_store_view,2.3 x 0.9 x 0.5
8981040,,power_store_view,2.3 x 0.9 x 0.5
8971276,,power_store_view,2.3 x 0.9 x 0.5
8971279,,power_store_view,2.3 x 0.9 x 0.5
8970364,,power_store_view,2.3 x 0.9 x 0.5
8970367,,power_store_view,2.3 x 0.9 x 0.5
8969992,,power_store_view,2.3 x 0.9 x 0.5
8969996,,power_store_view,2.3 x 0.9 x 0.5
8970328,,power_store_view,2.3 x 0.9 x 0.5
8970332,,power_store_view,2.3 x 0.9 x 0.5
8970336,,power_store_view,2.3 x 0.9 x 0.5
8970341,,power_store_view,2.3 x 0.9 x 0.5
