sku,name,store_view_code,dimension
8971260,,murataps_store_view,2.3 x 0.9 x 0.5
8971263,,murataps_store_view,2.3 x 0.9 x 0.5
8970372,,murataps_store_view,2.3 x 0.9 x 0.5
8970375,,murataps_store_view,2.3 x 0.9 x 0.5
8981052,,murataps_store_view,2.3 x 0.9 x 0.5
8981053,,murataps_store_view,2.3 x 0.9 x 0.5
8981061,,murataps_store_view,2.3 x 0.9 x 0.5
8981056,,murataps_store_view,2.3 x 0.9 x 0.5
8981057,,murataps_store_view,2.3 x 0.9 x 0.5
8981042,,murataps_store_view,2.3 x 0.9 x 0.5
8981040,,murataps_store_view,2.3 x 0.9 x 0.5
8971276,,murataps_store_view,2.3 x 0.9 x 0.5
8971279,,murataps_store_view,2.3 x 0.9 x 0.5
8970364,,murataps_store_view,2.3 x 0.9 x 0.5
8970367,,murataps_store_view,2.3 x 0.9 x 0.5
8969992,,murataps_store_view,2.3 x 0.9 x 0.5
8969996,,murataps_store_view,2.3 x 0.9 x 0.5
8970328,,murataps_store_view,2.3 x 0.9 x 0.5
8970332,,murataps_store_view,2.3 x 0.9 x 0.5
8970336,,murataps_store_view,2.3 x 0.9 x 0.5
8970341,,murataps_store_view,2.3 x 0.9 x 0.5
