sku,name,store_view_code,dimension
8971260,UCE-1.5/20-D48NB-C,,2.3 x 0.9 x 0.5
8971263,UCE-1.5/20-D48PB-C,,2.3 x 0.9 x 0.5
8970372,UCE-1.8/30-D48NB-C,,2.3 x 0.9 x 0.5
8970375,UCE-1.8/30-D48PB-C,,2.3 x 0.9 x 0.5
8981052,UCE-12/10-D48NB-C,,2.3 x 0.9 x 0.5
8981053,UCE-12/10-D48NBH-C,,2.3 x 0.9 x 0.5
8981061,UCE-12/10-D48NBL2-C,,2.3 x 0.9 x 0.5
8981056,UCE-12/10-D48PB-C,,2.3 x 0.9 x 0.5
8981057,UCE-12/10-D48PBH-C,,2.3 x 0.9 x 0.5
8981042,UCE-12/4.2-D48NB-C,,2.3 x 0.9 x 0.5
8981040,UCE-12/4.2-D48PB-C,,2.3 x 0.9 x 0.5
8971276,UCE-12/8.3-D48NB-C,,2.3 x 0.9 x 0.5
8971279,UCE-12/8.3-D48PB-C,,2.3 x 0.9 x 0.5
8970364,UCE-2.5/20-D48NB-C,,2.3 x 0.9 x 0.5
8970367,UCE-2.5/20-D48PB-C,,2.3 x 0.9 x 0.5
8969992,UCE-3.3/15-D48NB-C,,2.3 x 0.9 x 0.5
8969996,UCE-3.3/15-D48PB-C,,2.3 x 0.9 x 0.5
8970328,UCE-3.3/30-D48NB-C,,2.3 x 0.9 x 0.5
8970332,UCE-3.3/30-D48PB-C,,2.3 x 0.9 x 0.5
8970336,UCE-5/20-D48NB-C,,2.3 x 0.9 x 0.5
8970341,UCE-5/20-D48PB-C,,2.3 x 0.9 x 0.5
