sku,name,store_view_code,dimension,dimensions_mm,i1out,operating_temperature_range,total_output_power_w,v1out_vdc,v2out_vdc,vin_range,series,errors
8801749,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",69.2," -10 to 50",850,12,3.3,"40 to 72",N/A,
8801734,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",98.3," -10 to 50",1200,12,5,"90 to 264",N/A,
8801735,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",98.3," -10 to 50",1200,12,5,"90 to 264",N/A,
8801736,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",98.3," -10 to 50",1200,12,3.3,"90 to 264",N/A,
8801737,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",98.3," -10 to 50",1200,12,3.3,"90 to 264",N/A,
8401804,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",69.2," -10 to 55",850,12,3.3,"90 to 264",N/A,
8801730,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",69.2," -10 to 55",850,12,3.3,"90 to 264",D1U3CS-W,
4401731-3,,power_store_view,"1U x 3.20 x 11.00","1U x 81.30 x 279.40",69.2," -10 to 55",850,12,3.3,"90 to 264",N/A,
MPL0039A,,power_store_view,"1.77 x 3.31 x 0.51",,0.2," -10 to 60",50,40,40,"45.6 to 50.4",MPL0039,
MPL0039B,,power_store_view,"1.77 x 3.31 x 0.51",,0.4," -10 to 60",50,40,40,"45.6 to 50.4",MPL0039,
MYSSM01204BENL,,power_store_view,"1.2 x 0.8 x 0.5","30.2 x 20.9 x 12",4," -10 to 70",48,"5 to 12",,"17 to 40",N/A,
MYSSM01806BENL,,power_store_view,"1.2 x 0.8 x 0.5","30.2 x 20.9 x 12",6," -10 to 70",108,"5 to 18",,"25 to 40",N/A,
PQC250-54,,power_store_view,"3 x 5 x 1.4","76.2 x 127 x 35.2",4.6," -10 to 70",277,54,5,"90 to 264",N/A,
8941420,,power_store_view,"0.5 x 0.67 x 0.42","12.7 x 17.02 x 10.7",25," -20 to 70",49.5,0.8-3.6,,"7 to 13.2",N/A,
4401954,,power_store_view,"3 x 5 x 1.4","76.2 x 127 x 35.2",13.8," -20 to 70",250,54,5,"90 to 264",N/A,
4401998,,power_store_view,"3 x 5 x 1.4","76.2 x 127 x 35.2",13.8," -20 to 70",250,54,5,"90 to 264",PQC250,
IHB60T480512-C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5.1,12,"33 to 76",N/A,
VKP100MT312,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",30," -40 to 100",100,3.3,12,"33 to 75",N/A,
VKP100MT312C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",30," -40 to 100",100,3.3,12,"33 to 75",N/A,
VKP100MT515,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",20," -40 to 100",100,5,15,"33 to 75",N/A,
VKP60LT312C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",18," -40 to 100",60,3.3,12,"18 to 40",N/A,
VKP60LT315C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",18," -40 to 100",60,3.3,15,"18 to 40",N/A,
VKP60LT512C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5.1,12,"18 to 40",N/A,
VKP60LT515C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5.1,15,"18 to 40",N/A,
VKP60MT312,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",18," -40 to 100",60,3.3,12,"33 to 75",N/A,
VKP60MT312C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",18," -40 to 100",60,3.3,12,"33 to 75",N/A,
VKP60MT315,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",18," -40 to 100",60,3.3,15,"33 to 75",N/A,
VKP60MT315C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",18," -40 to 100",60,3.3,15,"33 to 75",N/A,
VKP60MT512,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5.1,12,"33 to 75",N/A,
VKP60MT512C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5.1,12,"33 to 75",N/A,
VKP60MT515,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5,15,"33 to 75",N/A,
VKP60MT515C,,power_store_view,"2.3 x 2.4 x 0.5","58.4 x 61 x 12.7",12," -40 to 100",60,5,15,"33 to 75",N/A,
8960004,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",30,1.2,,"10.2 to 13.8",N/A,
8960005,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",30,1.2,,"10.2 to 13.8",N/A,
8960006,,power_store_view,"0.90 x 2.3 x 0.46",,25," -40 to 105",30,1.2,,"10.2 to 13.8",N/A,
8960007,,power_store_view,"0.90 x 2.3 x 0.46",,25," -40 to 105",30,1.2,,"10.2 to 13.8",N/A,
8960008,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",38,1.5,,"10.2 to 13.8",N/A,
8960009,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",38,1.5,,"10.2 to 13.8",N/A,
8960010,,power_store_view,"0.90 x 2.3 x 0.46",,25," -40 to 105",38,1.5,,"10.2 to 13.8",N/A,
8960011,,power_store_view,"0.90 x 2.3 x 0.46",,25," -40 to 105",38,1.5,,"10.2 to 13.8",N/A,
8808762,,power_store_view,"2.3 x 1.45 x 0.57","58.4 x 36.8 x 14.5",84," -40 to 105",1000,12,,"9 to 36",ICF,
8808761,,power_store_view,"2.3 x 1.45 x 0.57","58.4 x 36.8 x 14.5",84," -40 to 105",1000,12,,"9 to 36",ICF,
8808738,,power_store_view,"2.3 x 1.45 x 0.57","58.4 x 36.8 x 14.5",21," -40 to 105",1000,48,,"9 to 36",ICF,
8808737,,power_store_view,"2.3 x 1.45 x 0.57","58.4 x 36.8 x 14.5",21," -40 to 105",1000,48,,"9 to 36",ICF,
8808742,,power_store_view,"2.3 x 1.45 x 0.57","58.4 x 36.8 x 14.5",19," -40 to 105",1000,53,,"9 to 36",ICF,
8808741,,power_store_view,"2.3 x 1.45 x 0.57","58.4 x 36.8 x 14.5",19," -40 to 105",1000,53,,"9 to 36",ICF,
8913028,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",125,5,,"10.2 to 13.8",N/A,
8913026,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",125,5,,"10.2 to 13.8",N/A,
8913027,,power_store_view,"0.90 x 2.23 x 0.46",,25," -40 to 105",125,5,,"10.2 to 13.8",N/A,
