sku,store_view_code,attribute_set_code,product_websites,name,rfm_spec_temp_range,rfm_spec_temp_max,rfm_spec_temp_min
SF2211E,,RFM - SAW Filter,"wireless,base",SF2211E, -55 to +85,85,-55
SF2229A,,RFM - SAW Filter,"wireless,base",SF2229A, -55 to +95,95,-55
SF2251E,,RFM - SAW Filter,"wireless,base",SF2251E, -55 to +85,85,-55
SF2252E,,RFM - SAW Filter,"wireless,base",SF2252E, -55 to +85,85,-55
SF2257A,,RFM - SAW Filter,"wireless,base",SF2257A, -55 to +90,90,-55
SF2230A,,RFM - SAW Filter,"wireless,base",SF2230A, -45 to +85,85,-45
RF1172C,,RFM - SAW Filter,"wireless,base",RF1172C, -40 to +85,85,-40
RF1172D,,RFM - SAW Filter,"wireless,base",RF1172D, -40 to +85,85,-40
RF1211C,,RFM - SAW Filter,"wireless,base",RF1211C, -40 to +85,85,-40
RF1211D,,RFM - SAW Filter,"wireless,base",RF1211D, -40 to +85,85,-40
RF1295C,,RFM - SAW Filter,"wireless,base",RF1295C, -40 to +85,85,-40
RF1353C,,RFM - SAW Filter,"wireless,base",RF1353C, -40 to +85,85,-40
RF1353D,,RFM - SAW Filter,"wireless,base",RF1353D, -40 to +85,85,-40
RF1391C,,RFM - SAW Filter,"wireless,base",RF1391C, -40 to +85,85,-40
RF1396C,,RFM - SAW Filter,"wireless,base",RF1396C, -40 to +85,85,-40
RF1400D,,RFM - SAW Filter,"wireless,base",RF1400D, -40 to +125,125,-40
RF1401D,,RFM - SAW Filter,"wireless,base",RF1401D, -40 to +85,85,-40
RF1402D,,RFM - SAW Filter,"wireless,base",RF1402D, -40 to +85,85,-40
RF1404C,,RFM - SAW Filter,"wireless,base",RF1404C, -40 to +85,85,-40
RF1407D,,RFM - SAW Filter,"wireless,base",RF1407D, -40 to +85,85,-40
RF1408D,,RFM - SAW Filter,"wireless,base",RF1408D, -40 to +125,125,-40
RF1411D,,RFM - SAW Filter,"wireless,base",RF1411D, -40 to +85,85,-40
RF1414D,,RFM - SAW Filter,"wireless,base",RF1414D, -40 to +125,125,-40
RF1417D,,RFM - SAW Filter,"wireless,base",RF1417D, -40 to +125,125,-40
RF1419D,,RFM - SAW Filter,"wireless,base",RF1419D, -40 to +85,85,-40
RF1432C,,RFM - SAW Filter,"wireless,base",RF1432C, -40 to +85,85,-40
RF2040E,,RFM - SAW Filter,"wireless,base",RF2040E, -40 to +85,85,-40
RF3171D,,RFM - SAW Filter,"wireless,base",RF3171D, -40 to +85,85,-40
RF3181,,RFM - SAW Filter,"wireless,base",RF3181, -40 to +85,85,-40
RF3181D,,RFM - SAW Filter,"wireless,base",RF3181D, -40 to +125,125,-40
RF3181E,,RFM - SAW Filter,"wireless,base",RF3181E, -40 to +125,125,-40
RF3210,,RFM - SAW Filter,"wireless,base",RF3210, -40 to +85,85,-40
RF3210D,,RFM - SAW Filter,"wireless,base",RF3210D, -40 to +125,125,-40
RF3319D,,RFM - SAW Filter,"wireless,base",RF3319D, -40 to +125,125,-40
RF3319E,,RFM - SAW Filter,"wireless,base",RF3319E, -40 to +125,125,-40
RF3336,,RFM - SAW Filter,"wireless,base",RF3336, -40 to +85,85,-40
RF3336C,,RFM - SAW Filter,"wireless,base",RF3336C, -40 to +85,85,-40
RF3336D,,RFM - SAW Filter,"wireless,base",RF3336D, -40 to +125,125,-40
RF3336E,,RFM - SAW Filter,"wireless,base",RF3336E, -40 to +125,125,-40
RF3391D,,RFM - SAW Filter,"wireless,base",RF3391D, -40 to +125,125,-40
RF3404,,RFM - SAW Filter,"wireless,base",RF3404, -40 to +85,85,-40
RF3404D,,RFM - SAW Filter,"wireless,base",RF3404D, -40 to +90,90,-40
RF3404E,,RFM - SAW Filter,"wireless,base",RF3404E, -40 to +105,105,-40
RF3414E,,RFM - SAW Filter,"wireless,base",RF3414E, -40 to +125,125,-40
