additional_images,name,base_image,small_image,swatch_image,thumbnail_image,allow_backorders,attribute_set_code,categories,created_at,data_sheet,description,design_origin,dimension,dimensions_mm,display_product_options_in,dosa,efficiency,enable_googlecheckout,enable_qty_increments,form_factor,gift_message_available,i1out,input_current,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,isolation_vdc,line_regulation_max,load_regulation_max,location,manage_stock,max_cart_qty,meta_description,meta_keywords,meta_title,min_cart_qty,mounting_type,notify_on_stock_below,operating_temperature_range,out_of_stock_qty,output_power_total_w,package_style,page_layout,price,product_online,product_status,product_type,product_websites,qty,qty_increments,quality,ripple_noise,rohs_6,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_6c,rohs_exc_7a,rohs_exc_7b,rohs_exc_7c1,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,series,series_description,series_headline,short_description,sku,tax_class_name,total_output_power_w,updated_at,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,v1out_vdc,v1out_vdc_number,vin_nominal,vin_range,visibility,website_id
180x102_uwe-q12_baseplate.jpg,UWE-12/10-Q12NB-C,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/9/19, 5:47 PM",/data/power/uwe-q12.pdf,"<p>12Vout @ 10A, 9-36Vin, Negative logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,10,400/14960,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"UWE-12/10-Q12NB-C 12Vout @ 10A, 9-36Vin, Negative logic, Baseplate",UWE-12/10-Q12NB-C,UWE-12/10-Q12NB-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Recommended In Production,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,115,Yes,No,No,No,No,Yes,No,No,Yes,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>12Vout @ 10A, 9-36Vin, Negative logic, Baseplate</p>",8921568,Taxable Goods,120,"4/10/19, 2:51 PM",uwe-12-10-q12nb-c,1,1,1,1,1,1,1,1,12,12,12,9 to 36,"Catalog, Search",0
180x102_uwe-12_10-q12.jpg,UWE-12/10-Q12N-C,180x102_uwe-12_10-q12.jpg,180x102_uwe-12_10-q12.jpg,180x102_uwe-12_10-q12.jpg,180x102_uwe-12_10-q12.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","12/29/14, 3:10 PM",/data/power/uwe-q12.pdf,"<p>12Vout @ 10A, 9-36Vin, Negative logic, Open-frame</p>",Murata Power Solutions,2.3 x 0.9 x 0.400,58.4 x 22.9 x 10.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,10,400/14960,0,No,1,0,No,2250,0.3,0.3,M,1,10000,,,,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,simple,"power,murataps,base",999,1,UL/IEC/EN60950-1 safety approvals.,115,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>12Vout @ 10A, 9-36Vin, Negative logic, Open-frame</p>",8921567,0,120,"4/10/19, 2:48 PM",uwe-12-10-q12n-c,1,1,1,1,1,1,1,1,12,12,12,9 to 36,"Catalog, Search",0
180x102_uwe-12_10-q12nb_baseplate.jpg,UWE-12/10-Q12PB-C,180x102_uwe-12_10-q12nb_baseplate.jpg,180x102_uwe-12_10-q12nb_baseplate.jpg,180x102_uwe-12_10-q12nb_baseplate.jpg,180x102_uwe-12_10-q12nb_baseplate.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","12/29/14, 3:10 PM",/data/power/uwe-q12.pdf,"<p>12Vout @ 10A, 9-36Vin, Positive logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,10,400/14960,0,No,1,0,No,2250,0.3,0.3,M,1,10000,,,,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,simple,"power,murataps,base",999,1,UL/IEC/EN60950-1 safety approvals,115,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>","Eighth-brick, DOSA-Compatible","<p>12Vout @ 10A, 9-36Vin, Positive logic, Baseplate</p>",8921570,0,120,"4/10/19, 2:56 PM",uwe-12-10-q12pb-c,1,1,1,1,1,1,1,1,12,12,12,9 to 36,"Catalog, Search",0
180x102_uwe-12_10-q12.jpg,UWE-12/10-Q12P-C,180x102_uwe-12_10-q12.jpg,180x102_uwe-12_10-q12.jpg,180x102_uwe-12_10-q12.jpg,180x102_uwe-12_10-q12.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","12/29/14, 3:10 PM",/data/power/uwe-q12.pdf,"<p>12Vout @ 10A, 9-36Vin, Positive logic, Open-frame</p>",Murata Power Solutions,2.3 x 0.9 x 0.400,58.4 x 22.9 x 10.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,10,400/14960,0,No,1,0,No,2250,0.3,0.3,M,1,10000,,,,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,simple,"power,murataps,base",999,1,UL/IEC/EN60950-1 safety approvals.,115,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>","Eighth-brick, DOSA-Compatible","<p>12Vout @ 10A, 9-36Vin, Positive logic, Open-frame</p>",8921569,0,120,"4/10/19, 2:53 PM",uwe-12-10-q12p-c,1,1,1,1,1,1,1,1,12,12,12,9 to 36,"Catalog, Search",0
180x102_uwe-q12_baseplate.jpg,UWE-24/5-Q12NB-C,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/10/19, 1:17 PM",/data/power/uwe-q12.pdf,"<p>24Vout @ 5A, 9-36Vin, Negative logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,5,80/14960,0,Yes,1,0,Yes,2250,0.4,0.4,M,1,10000,"UWE-24/5-Q12NB-C 24Vout @ 5A, 9-36Vin, Negative logic, Baseplate",UWE-24/5-Q12NB-C,UWE-24/5-Q12NB-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Under Development,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>24Vout @ 5A, 9-36Vin, Negative logic, Baseplate</p>",8990067,Taxable Goods,120,"4/10/19, 2:37 PM",uwe-24-5-q12nb-c,1,1,1,1,1,1,1,1,24,24,12,9 to 36,"Catalog, Search",0
180x102_uwe-q12_open-frame.jpg,UWE-24/5-Q12N-C,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/8/19, 2:47 PM",/data/power/uwe-q12.pdf,"<p>24Vout @ 5A, 9-36Vin, Negative logic, Open-frame</p>",Murata Power Solutions,2.3 x 0.9 x 0.400,58.4 x 22.9 x 10.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,5,80/14960,0,Yes,1,0,Yes,2250,0.4,0.4,M,1,10000,UWE-5/24-Q12N-C ,UWE-5/24-Q12N-C,UWE-5/24-Q12N-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Under Development,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>24Vout @ 5A, 9-36Vin, Negative logic, Open-frame</p>",8990065,Taxable Goods,120,"4/10/19, 2:29 PM",uwe-24-5-q12n-c,1,1,1,1,1,1,1,1,24,24,12,9 to 36,"Catalog, Search",0
180x102_uwe-q12_baseplate.jpg,UWE-24/5-Q12PB-C,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/10/19, 1:30 PM",/data/power/uwe-q12.pdf,"<p>24Vout @ 5A, 9-36Vin, Positive logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,5,80/14960,0,Yes,1,0,Yes,2250,0.4,0.4,M,1,10000,"UWE-24/5-Q12NB-C 24Vout @ 5A, 9-36Vin, Negative logic, Baseplate",UWE-24/5-Q12NB-C,UWE-24/5-Q12NB-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Under Development,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>24Vout @ 5A, 9-36Vin, Positive logic, Baseplate</p>",8990068,Taxable Goods,120,"4/10/19, 2:44 PM",uwe-24-5-q12pb-c,1,1,1,1,1,1,1,1,24,24,12,9 to 36,"Catalog, Search",0
180x102_uwe-q12_open-frame.jpg,UWE-24/5-Q12P-C,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/8/19, 3:00 PM",/data/power/uwe-q12.pdf,"<p>24Vout @ 5A, 9-36Vin, Positive logic, Open-frame</p>",Murata Power Solutions,2.3 x 0.9 x 0.400,58.4 x 22.9 x 10.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,5,80/14960,0,Yes,1,0,Yes,2250,0.4,0.4,M,1,10000,UWE-5/24-Q12N-C ,UWE-5/24-Q12N-C,UWE-5/24-Q12N-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Under Development,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>24Vout @ 5A, 9-36Vin, Positive logic, Open-frame</p>",8990066,Taxable Goods,120,"4/10/19, 2:41 PM",uwe-24-5-q12p-c,1,1,1,1,1,1,1,1,24,24,12,9 to 36,"Catalog, Search",0
180x102_uwe-q12_baseplate.jpg,UWE-5/24-Q12NB-C,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,180x102_uwe-q12_baseplate.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/9/19, 11:57 AM",/data/power/uwe-q12.pdf,"<p>5Vout @ 24A, 9-36Vin, Negative logic, Baseplate.</p>",Murata Power Solutions,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,24,250/14960,0,Yes,1,0,Yes,2250,0.4,0.4,M,1,10000,UWE-5/24-Q12N-C ,UWE-5/24-Q12N-C,UWE-5/24-Q12N-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Under Development,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,100,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>5Vout @ 24A, 9-36Vin, Negative logic, Baseplate.</p>",8990063,Taxable Goods,120,"4/10/19, 2:04 PM",uwe-5-24-q12nb-c,1,1,1,1,1,1,1,1,12,5,12,9 to 36,"Catalog, Search",0
180x102_uwe-q12_open-frame.jpg,UWE-5/24-Q12N-C,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,180x102_uwe-q12_open-frame.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","4/8/19, 10:46 AM",/data/power/uwe-q12.pdf,"<p>5Vout @ 24A, 9-36Vin, Negative logic, Open-frame</p>",Murata Power Solutions,2.3 x 0.9 x 0.400,58.4 x 22.9 x 10.2,Block after Info Column,DOSA,92,Yes,0,1/8 Brick,No,24,250/14960,0,Yes,1,0,Yes,2250,0.4,0.4,M,1,10000,UWE-5/24-Q12N-C ,UWE-5/24-Q12N-C,UWE-5/24-Q12N-C,1,Horizontal Mount Through Hole,1,-40 to 85,0,120,Horizontal TH,2 columns with left bar,0.01,1,Under Development,simple,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,100,Yes,No,No,No,No,Yes,No,Yes,No,No,No,UWE-Q12,"<p>Wide Input, Isolated, DOSA compliant, DC-DC converters</p>",Eighth-Brick DOSA-Compatible,"<p>5Vout @ 24A, 9-36Vin, Negative logic, Open-frame</p>",8990061,Taxable Goods,120,"4/10/19, 1:59 PM",uwe-5-24-q12n-c,1,1,1,1,1,1,1,1,5,5,12,9 to 36,"Catalog, Search",0
