sku,name,url_key
series_1100R,1100R ,series-1100r
series_766,766,series-766
series_772,772,series-772
series_786,786,series-786
series_803,803,series-803
series_1000,1000,series-1000
series_1400,1400,series-1400
series_1500,1500,series-1500
series_1600,1600,series-1600
series_1605,1605,series-1605
series_1700,1700,series-1700
series_1800,1800,series-1800
series_2300,2300,series-2300
series_2400,2400,series-2400
series_2600,2600,series-2600
series_2700,2700,series-2700
series_2800,2800,series-2800
series_2900,2900,series-2900
series_3200,3200,series-3200
series_3300,3300,series-3300
series_3400,3400,series-3400
series_3500,3500,series-3500
series_3600,3600,series-3600
series_3700,3700,series-3700
series_3800,3800,series-3800
series_3900,3900,series-3900
series_4000,4000,series-4000
series_4100,4100,series-4100
series_4200,4200,series-4200
series_4300,4300,series-4300
series_4500,4500,series-4500
series_4600,4600,series-4600
series_4700,4700,series-4700
series_4800,4800,series-4800
series_4900,4900,series-4900
series_5000,5000,series-5000
series_5300,5300,series-5300
series_5400,5400,series-5400
series_5500,5500,series-5500
series_5600,5600,series-5600
series_8300,8300,series-8300
series_78250,78250,series-78250
series_78253,78253,series-78253
series_782482,782482,series-782482
series_782485,782485,series-782485
series_1000_2,1000,series-1000-2
series_1200LRS,1200LRS ,series-1200lrs
series_1200RS,1200RS ,series-1200rs
series_1300R,1300R ,series-1300r
series_1400_3,1400,series-1400-3
series_1400_2,1400,series-1400-4
series_1638-1639,1638/1639,series-1638-1639
series_1800R,1800R,series-1800r
series_1900R,1900R,series-1900r
series_2200R-,2200R ,series-2200r
series_2200RM,2200RM ,series-2200rm
series_2600S ,2600S ,series-2600s
series_2700T,2700T ,series-2700t
series_2900L,2900L,series-2900l
series_3000A,3000A,series-3000a
series_3000B,3000B,series-3000b
series_3400L,3400L,series-3400l
series_3700_2,3700,series-3700-2
series_4700S,4700S ,series-4700s
series_4800S,4800S ,series-4800s
series_4900S,4900S,series-4900s
series_5200_2,5200,series-5200-2
series_5200_3,5200,series-5200-3
series_5200_4,5200,series-5200-4
series_5600_2,5600,series-5600-2
series_6000A,6000A,series-6000a
series_6000B,6000B,series-6000b
series_6-PAK,6-PAK,series-6-pak
series_76250EN-76253EN,76250EN/76253EN,series-76250en-76253en
series_76250ENC ,76250ENC ,series-76250enc-1
series_76253/XXENC ,76253/XXENC ,series-76253-xxenc
series_766_2,766,series-766-2
series_78250_2,78250,series-78250-2
series_78250J,78250J ,series-78250j
series_78253_2,78253,series-78253-2
series_78253J,78253J ,series-78253j
series_786_2,786,series-786-2
series_786J,786J,series-786j
series_78SR-X/2,78SR-X/2,series-78sr-x-2
series_78xxSR,78xxSR,series-78xxsr
series_ACA-20PC,ACA-20PC,series-aca-20pc
series_ACA-20PC_2,ACA-20PC,series-aca-20pc-1
series_ACA-20PC-4,ACA-20PC-4,series-aca-20pc-4
series_ACA-20PC-4-XXX-L,ACA-20PC-4-XXX-L,series-aca-20pc-4-xxx-l
series_ACA-20RM,ACA-20RM,series-aca-20rm
series_ACA-20RM-2,ACA-20RM-2,series-aca-20rm-2
series_ACA-20RM-4,ACA-20RM-4,series-aca-20rm-4
series_ACA-20RM-5,ACA-20RM-5,series-aca-20rm-5
series_ACA-20RM-ALM,ACA-20RM-ALM,series-aca-20rm-alm
series_ACA-20RM-ALM_2,ACA-20RM-ALM,series-aca-20rm-alm-1
series_ACA-20RM Bezel,ACA-20RM Bezel,series-aca-20rm-bezel
series_ACA5-20PC,ACA5-20PC,series-aca5-20pc
series_ACA5-20RM,ACA5-20RM,series-aca5-20rm
series_ACM20,ACM20,series-acm20
series_ACM3P,ACM3P,series-acm3p
series_BCP-3-3-2-5-50W,"BCP-3.3/2.5, 50W",series-bcp-3-3-2-5-50w
series_BCP-5-3-3-75W,"BCP-5/3.3, 75W",series-bcp-5-3-3-75w
series_BEI15,BEI15,series-bei15
series_BHE,BHE,series-bhe
series_BMP-25-40W,"BMP,  25-40W",series-bmp-25-40w
series_BMP-5-3-3-35W,"BMP-5/3.3, 35W",series-bmp-5-3-3-35w
series_BPB,BPB,series-bpb
series_BPM15,BPM15,series-bpm15
series_BST-3W,"BST, 3W",series-bst-3w
series_BWP-3W,"BWP, 3W",series-bwp-3w
series_BWR,BWR,series-bwr
series_BWR-15-17WDualOutput,BWR-15-17W Dual Output,series-bwr-15-17w-dual-output
series_BWR-15-20W-ASeries,"BWR, 15-20W, A",series-bwr-15-20w-a-series
