additional_images,base_image,small_image,swatch_image,thumbnail_image,allow_backorders,attribute_set_code,categories,created_at,data_sheet,description,design_origin,dimension,dimensions_mm,display_product_options_in,dosa,efficiency,enable_googlecheckout,enable_qty_increments,form_factor,gift_message_available,i1out,input_current,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,isolation_vdc,line_regulation_max,load_regulation_max,location,manage_stock,max_cart_qty,meta_description,meta_keywords,meta_title,min_cart_qty,mounting_type,name,notify_on_stock_below,operating_temperature_range,out_of_stock_qty,output_power_total_w,package_style,page_layout,price,product_online,product_status,product_websites,qty,qty_increments,quality,ripple_noise,rohs_6,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_6c,rohs_exc_7a,rohs_exc_7b,rohs_exc_7c1,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,series,series_description,series_headline,short_description,sku,tax_class_name,total_output_power_w,updated_at,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,v1out_vdc,v1out_vdc_number,vin_nominal,vin_range,visibility,website_id,product_type
180x102_dae.jpg,180x102_dae.jpg,180x102_dae.jpg,180x102_dae.jpg,180x102_dae.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","5/2/19, 10:55 AM",/data/power/dse_dae_dce.pdf,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  With Sense & Trim, Negative logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.55,58.42 x 22.86 x 14,Block after Info Column,DOSA,95.5,Yes,0,1/8 Brick,No,33,11700,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"DAE0133V2NBC 12Vout @ 33A, 36-75Vin, No PMBus,  With Sense & Trim, Negative logic, Baseplate",DAE0133V2NBC,DAE0133V2NBC,1,Horizontal Mount Through Hole,DAE0133V2NBC,1, -40 to 85,0,400,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,80,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DAE,"<p>Isolated, DOSA compliant, DC-DC converters</p>",400W Isolated Eighth Brick,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  With Sense & Trim, Negative logic, Baseplate</p>",8990030,Taxable Goods,400,"5/7/19, 11:09 AM",dae0133v2nbc,1,1,1,1,1,1,1,1,12,12,48,36 to 75,"Catalog, Search",0,simple
180x102_dae.jpg,180x102_dae.jpg,180x102_dae.jpg,180x102_dae.jpg,180x102_dae.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","5/8/19, 1:17 PM",/data/power/dse_dae_dce.pdf,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  With Sense & Trim, Positive logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.55,58.42 x 22.86 x 14,Block after Info Column,DOSA,95.5,Yes,0,1/8 Brick,No,33,11700,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"DAE0133V2PBC 12Vout @ 33A, 36-75Vin, No PMBus,  With Sense & Trim, Positive logic, Baseplate",DAE0133V2PBC,DAE0133V2PBC,1,Horizontal Mount Through Hole,DAE0133V2PBC,1, -40 to 85,0,400,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,80,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DAE,"<p>Isolated, DOSA compliant, DC-DC converters</p>",400W Isolated Eighth Brick,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  With Sense & Trim, Positive logic, Baseplate</p>",8990031,Taxable Goods,400,"5/8/19, 1:17 PM",dae0133v2pbc,1,1,1,1,1,1,1,1,12,12,48,36 to 75,"Catalog, Search",0,simple
180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated/Single Output,Murata PS/Products/DC-DC Converters/Isolated/Single Output Isolated","5/6/19, 11:15 AM",/data/power/dbq.pdf,"<p>5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Negative logic, Baseplate</p>",Murata Power Solutions,2.3 x 1.45 x 0.5,58.4 x 36.8 x 12.7,Block after Info Column,,94.8,Yes,0,1/4 Brick,No,60,50/6590,0,Yes,1,0,Yes,2250,0.6,0.5,M,1,10000,"DBQ0260V2NBC 5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Negative logic, Baseplate",DBQ0260V2NBC,DBQ0260V2NBC,1,Horizontal Mount Through Hole,DBQ0260V2NBC,1, -40 to 85,0,300,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DBQ,"<p>Isolated, Advanced Bus Converter, digitally controlled, DC-DC converters with PMBus</p>",300W Isolated Quarter Brick,"<p>5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Negative logic, Baseplate</p>",8999774,Taxable Goods,300,"5/8/19, 3:34 PM",dbq0260v2nbc,1,1,1,1,1,1,1,1,5,5,48,36 to 75,"Catalog, Search",0,simple
180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated/Single Output,Murata PS/Products/DC-DC Converters/Isolated/Single Output Isolated","5/6/19, 11:43 AM",/data/power/dbq.pdf,"<p>5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate</p>",Murata Power Solutions,2.3 x 1.45 x 0.5,58.4 x 36.8 x 12.7,Block after Info Column,,94.8,Yes,0,1/4 Brick,No,60,50/6590,0,Yes,1,0,Yes,2250,0.6,0.5,M,1,10000,"DBQ0260V2PBC 5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate",DBQ0260V2PBC,DBQ0260V2PBC,1,Horizontal Mount Through Hole,DBQ0260V2PBC,1, -40 to 85,0,300,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DBQ,"<p>5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate</p>",300W Isolated Quarter Brick,"<p>5Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate</p>",8999775,Taxable Goods,300,"5/8/19, 3:52 PM",dbq0260v2pbc,1,1,1,1,1,1,1,1,5,5,48,36 to 75,"Catalog, Search",0,simple
180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated/Single Output,Murata PS/Products/DC-DC Converters/Isolated/Single Output Isolated","5/8/19, 4:34 PM",/data/power/dbq.pdf,"<p>3.3Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Negative logic, Baseplate</p>",Murata Power Solutions,2.3 x 1.45 x 0.5,58.4 x 36.8 x 12.7,Block after Info Column,,93.2,Yes,0,1/4 Brick,No,60,50/4430,0,Yes,1,0,Yes,2250,0.606,0.454,M,1,10000,"DBQ0360V2NBC 3.3Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Negative logic, Baseplate",DBQ0360V2NBC,DBQ0360V2NBC,1,Horizontal Mount Through Hole,DBQ0360V2NBC,1, -40 to 85,0,198,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DBQ,"<p>Isolated, Advanced Bus Converter, digitally controlled, DC-DC converters with PMBus</p>",198W Isolated Quarter Brick,"<p>3.3Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Negative logic, Baseplate</p>",8999796,Taxable Goods,198,"5/9/19, 12:46 PM",dbq0360v2nbc,1,1,1,1,1,1,1,1,3.3,3.3,48,36 to 75,"Catalog, Search",0,simple
180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,180x102_dbq.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated/Single Output,Murata PS/Products/DC-DC Converters/Isolated/Single Output Isolated","5/8/19, 5:25 PM",/data/power/dbq.pdf,"<p>3.3Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate</p>",Murata Power Solutions,2.3 x 1.45 x 0.5,58.4 x 36.8 x 12.7,Block after Info Column,,93.2,Yes,0,1/4 Brick,No,60,50/4430,0,Yes,1,0,Yes,2250,0.606,0.454,M,1,10000,"DBQ0360V2PBC 3.3Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate",DBQ0360V2PBC,DBQ0360V2PBC,1,Horizontal Mount Through Hole,DBQ0360V2PBC,1, -40 to 85,0,198,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,150,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DBQ,"<p>Isolated, Advanced Bus Converter, digitally controlled, DC-DC converters with PMBus</p>",198W Isolated Quarter Brick,"<p>3.3Vout @ 60A, Single Output, 36-75Vin, With PMBus,  Positive logic, Baseplate</p>",8999797,Taxable Goods,198,"5/9/19, 1:26 PM",dbq0360v2pbc,1,1,1,1,1,1,1,1,3.3,3.3,48,36 to 75,"Catalog, Search",0,simple
180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","5/2/19, 10:38 AM",/data/power/dse_dae_dce.pdf,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Negative logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.55,58.42 x 22.86 x 14,Block after Info Column,DOSA,95.5,Yes,0,1/8 Brick,No,33,11700,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"DCE0133V2NBC 12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Negative logic, Baseplate",DCE0133V2NBC,DCE0133V2NBC,1,Horizontal Mount Through Hole,DCE0133V2NBC,1, -40 to 85,0,400,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,80,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DCE,"<p>Isolated, DOSA compliant, DC-DC converters</p>",400W Isolated Eighth Brick,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Negative logic, Baseplate</p>",8990026,Taxable Goods,400,"5/7/19, 1:04 PM",dce0133v2nbc,1,1,1,1,1,1,1,1,12,12,48,36 to 75,"Catalog, Search",0,simple
180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","5/8/19, 12:20 PM",/data/power/dse_dae_dce.pdf,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Negative logic, Baseplate, Load Sharing</p>",Murata Power Solutions,2.3 x 0.9 x 0.55,58.42 x 22.86 x 14,Block after Info Column,DOSA,95.5,Yes,0,1/8 Brick,No,33,11700,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"DCE0133V2NBSC 12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Negative logic, Baseplate, Load Sharing",DCE0133V2NBSC,DCE0133V2NBSC,1,Horizontal Mount Through Hole,DCE0133V2NBSC,1, -40 to 85,0,400,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,80,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DCE,"<p>Isolated, DOSA compliant, DC-DC converters</p>",400W Isolated Eighth Brick,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Negative logic, Baseplate, Load Sharing</p>",8990080,Taxable Goods,400,"5/8/19, 12:21 PM",dce0133v2nbsc,1,1,1,1,1,1,1,1,12,12,48,36 to 75,"Catalog, Search",0,simple
180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","5/7/19, 1:04 PM",/data/power/dse_dae_dce.pdf,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Positive logic, Baseplate</p>",Murata Power Solutions,2.3 x 0.9 x 0.55,58.42 x 22.86 x 14,Block after Info Column,DOSA,95.5,Yes,0,1/8 Brick,No,33,11700,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"DCE0133V2PBC 12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Positive logic, Baseplate",DCE0133V2PBC,DCE0133V2PBC,1,Horizontal Mount Through Hole,DCE0133V2PBC,1, -40 to 85,0,400,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,80,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DCE,"<p>Isolated, DOSA compliant, DC-DC converters</p>",400W Isolated Eighth Brick,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Positive logic, Baseplate</p>",8990027,Taxable Goods,400,"5/7/19, 1:10 PM",dce0133v2pbc,1,1,1,1,1,1,1,1,12,12,48,36 to 75,"Catalog, Search",0,simple
180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,180x102_dce.jpg,0,DC/DC Converters1,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","5/8/19, 12:47 PM",/data/power/dse_dae_dce.pdf,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Positive logic, Baseplate, Load Sharing</p>",Murata Power Solutions,2.3 x 0.9 x 0.55,58.42 x 22.86 x 14,Block after Info Column,DOSA,95.5,Yes,0,1/8 Brick,No,33,11700,0,Yes,1,0,Yes,2250,0.3,0.3,M,1,10000,"DCE0133V2PBSC 12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Positive logic, Baseplate, Load Sharing",DCE0133V2PBSC,DCE0133V2PBSC,1,Horizontal Mount Through Hole,DCE0133V2PBSC,1, -40 to 85,0,400,Horizontal TH,2 columns with right bar,0.01,1,Recommended In Production,"power,murataps",999,1,UL/IEC/EN60950-1 safety approvals,80,Yes,No,No,No,No,Yes,No,Yes,No,No,No,DCE,"<p>Isolated, DOSA compliant, DC-DC converters</p>",400W Isolated Eighth Brick,"<p>12Vout @ 33A, 36-75Vin, No PMBus,  No Sense & Trim, Positive logic, Baseplate, Load Sharing</p>",8990081,Taxable Goods,400,"5/8/19, 12:48 PM",dce0133v2pbsc,1,1,1,1,1,1,1,1,12,12,48,36 to 75,"Catalog, Search",0,simple
