sku,name,store_view_code,description,series_description,short_description
NTA0503MC,NTA0503MC,,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0503MC-R,NTA0503MC-R,,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
MTC2S1203MC,MTC2S1203MC,,"3.3V 606mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 9-18V Input","The MTC2 series of miniature surface mount DC-DC converters offers a single output voltage from input voltage ranges of 9-18V and 18-36V. The MTC2 series regulated output voltage is adjustable by &plusmn;10&#37; and a remote on/off pin is also included for  application power saving. The MTC2 ideally suited to applications which include medical. Industrial, telecommunications, battery powered systems, and process automation.","3.3V 606mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 9-18V Input"
MTC2S1205MC,MTC2S1205MC,,"5V 400mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 9-18V Input","The MTC2 series of miniature surface mount DC-DC converters offers a single output voltage from input voltage ranges of 9-18V and 18-36V. The MTC2 series regulated output voltage is adjustable by &plusmn;10&#37; and a remote on/off pin is also included for  application power saving. The MTC2 ideally suited to applications which include medical. Industrial, telecommunications, battery powered systems, and process automation.","5V 400mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 9-18V Input"
MTC2S1212MC,MTC2S1212MC,,"12V 167mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 9-18V Input","The MTC2 series of miniature surface mount DC-DC converters offers a single output voltage from input voltage ranges of 9-18V and 18-36V. The MTC2 series regulated output voltage is adjustable by &plusmn;10&#37; and a remote on/off pin is also included for  application power saving. The MTC2 ideally suited to applications which include medical. Industrial, telecommunications, battery powered systems, and process automation.","12V 167mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 9-18V Input"
MTC2S2403MC,MTC2S2403MC,,"3.3V 606mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 18-36V Input","The MTC2 series of miniature surface mount DC-DC converters offers a single output voltage from input voltage ranges of 9-18V and 18-36V. The MTC2 series regulated output voltage is adjustable by &plusmn;10&#37; and a remote on/off pin is also included for  application power saving. The MTC2 ideally suited to applications which include medical. Industrial, telecommunications, battery powered systems, and process automation.","3.3V 606mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 18-36V Input"
MTC2S2405MC,MTC2S2405MC,,"5V 400mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 18-36V Input","The MTC2 series of miniature surface mount DC-DC converters offers a single output voltage from input voltage ranges of 9-18V and 18-36V. The MTC2 series regulated output voltage is adjustable by &plusmn;10&#37; and a remote on/off pin is also included for  application power saving. The MTC2 ideally suited to applications which include medical. Industrial, telecommunications, battery powered systems, and process automation.","5V 400mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 18-36V Input"
MTC2S2412MC,MTC2S2412MC,,"12V 167mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 18-36V Input","The MTC2 series of miniature surface mount DC-DC converters offers a single output voltage from input voltage ranges of 9-18V and 18-36V. The MTC2 series regulated output voltage is adjustable by &plusmn;10&#37; and a remote on/off pin is also included for  application power saving. The MTC2 ideally suited to applications which include medical. Industrial, telecommunications, battery powered systems, and process automation.","12V 167mA, Isolated 1W Single Output 3kVAC, DC-DC Converter, 18-36V Input"
NTA0303MC,NTA0303MC,,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0303MC-R,NTA0303MC-R,,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;3.3V &plusmn;152mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0305MC,NTA0305MC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0305MC-R,NTA0305MC-R,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0309MC,NTA0309MC,,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0309MC-R,NTA0309MC-R,,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0312MC,NTA0312MC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0312MC-R,NTA0312MC-R,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0315MC,NTA0315MC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0315MC-R,NTA0315MC-R,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 2.97-3.63V Input "
NTA0505MC,NTA0505MC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0505MC-R,NTA0505MC-R,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0505MEC,NTA0505MEC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0505MEC-R,NTA0505MEC-R,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0509MC,NTA0509MC,,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0509MC-R,NTA0509MC-R,,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0512MC,NTA0512MC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0512MC-R,NTA0512MC-R,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0515MC,NTA0515MC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA0515MC-R,NTA0515MC-R,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input "
NTA1205MC,NTA1205MC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTA1205MC-R,NTA1205MC-R,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
