sku,name,description,short_description
8928143,IRS-12/4.5-Q12N-C,"12Vout @ 4.5A, 9-36Vin, Negative logic, Standard Baseplate","12Vout @ 4.5A, 9-36Vin, Negative logic, Standard Baseplate"
8928144,IRS-12/4.5-Q12NF-C,"12Vout @ 4.5A, 9-36Vin, Negative logic, Flanged Baseplate","12Vout @ 4.5A, 9-36Vin, Negative logic, Flanged Baseplate"
8928145,IRS-12/4.5-Q12P-C,"12Vout @ 4.5A, 9-36Vin, Positive logic, Standard Baseplate","12Vout @ 4.5A, 9-36Vin, Positive logic, Standard Baseplate"
8928146,IRS-12/4.5-Q12PF-C,"12Vout @ 4.5A, 9-36Vin, Positive logic, Flanged Baseplate","12Vout @ 4.5A, 9-36Vin, Positive logic, Flanged Baseplate"
8928147,IRS-15/3-Q12N-C,"15Vout @ 3.3A, 9-36Vin, Negative logic, Standard Baseplate","15Vout @ 3.3A, 9-36Vin, Negative logic, Standard Baseplate"
8928148,IRS-15/3-Q12NF-C,"15Vout @ 3.3A, 9-36Vin, Negative logic, Flanged Baseplate","15Vout @ 3.3A, 9-36Vin, Negative logic, Flanged Baseplate"
8928149,IRS-15/3-Q12P-C,"15Vout @ 3.3A, 9-36Vin, Positive logic, Standard Baseplate","15Vout @ 3.3A, 9-36Vin, Positive logic, Standard Baseplate"
8928150,IRS-15/3-Q12PF-C,"15Vout @ 3.3A, 9-36Vin, Positive logic, Flanged Baseplate","15Vout @ 3.3A, 9-36Vin, Positive logic, Flanged Baseplate"
8928151,IRS-24/2-Q12N-C,"24Vout @ 2A, 9-36Vin, Negative logic, Standard Baseplate","24Vout @ 2A, 9-36Vin, Negative logic, Standard Baseplate"
8928152,IRS-24/2-Q12NF-C,"24Vout @ 2A, 9-36Vin, Negative logic, Flanged Baseplate","24Vout @ 2A, 9-36Vin, Negative logic, Flanged Baseplate"
8928153,IRS-24/2-Q12P-C,"24Vout @ 2A, 9-36Vin, Positive logic, Standard Baseplate","24Vout @ 2A, 9-36Vin, Positive logic, Standard Baseplate"
8928154,IRS-24/2-Q12PF-C,"24Vout @ 2A, 9-36Vin, Positive logic, Flanged Baseplate","24Vout @ 2A, 9-36Vin, Positive logic, Flanged Baseplate"
8928135,IRS-3.3/15-Q12N-C,"3.3Vout @ 15A, 9-36Vin, Negative logic, Standard Baseplate","3.3Vout @ 15A, 9-36Vin, Negative logic, Standard Baseplate"
8928136,IRS-3.3/15-Q12NF-C,"3.3Vout @ 15A, 9-36Vin, Negative logic, Flanged Baseplate","3.3Vout @ 15A, 9-36Vin, Negative logic, Flanged Baseplate"
8928137,IRS-3.3/15-Q12P-C,"3.3Vout @ 15A, 9-36Vin, Positive logic, Standard Baseplate","3.3Vout @ 15A, 9-36Vin, Positive logic, Standard Baseplate"
8928138,IRS-3.3/15-Q12PF-C,"3.3Vout @ 15A, 9-36Vin, Positive logic, Flanged Baseplate","3.3Vout @ 15A, 9-36Vin, Positive logic, Flanged Baseplate"
8928139,IRS-5/10-Q12N-C,"5Vout @ 10A, 9-36Vin, Negative logic, Standard Baseplate","5Vout @ 10A, 9-36Vin, Negative logic, Standard Baseplate"
8928140,IRS-5/10-Q12NF-C,"5Vout @ 10A, 9-36Vin, Negative logic, Flanged Baseplate","5Vout @ 10A, 9-36Vin, Negative logic, Flanged Baseplate"
8928141,IRS-5/10-Q12P-C,"5Vout @ 10A, 9-36Vin, Positive logic, Standard Baseplate","5Vout @ 10A, 9-36Vin, Positive logic, Standard Baseplate"
8928142,IRS-5/10-Q12PF-C,"5Vout @ 10A, 9-36Vin, Positive logic, Flanged Baseplate","5Vout @ 10A, 9-36Vin, Positive logic, Flanged Baseplate"
