sku,store_view_code,description,series_description,short_description
CME0303S3C,,"3.3V 227mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 2.97-3.63V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","3.3V 227mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 2.97-3.63V Input"
CME0305S3C,,"5V 150mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 2.97-3.63V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 2.97-3.63V Input"
CME0505DC,,"5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
CME0505DPC,,"5V, Isolated 0.75W Input Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","5V, Isolated 0.75W Input Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CME0505S3C,,"5V 150mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 4.5-5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 4.5-5.5V Input"
CME0505SC,,"5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
CME0505SPC,,"5V, Isolated 0.75W Input Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","5V, Isolated 0.75W Input Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CME0512S3C,,"12V 63mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 4.5-5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","12V 63mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 4.5-5.5V Input"
CME0512SC,,"12V 63mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input","The CME series are a cost effective 0.75W DC-DC
converter series, in industry standard packages
with industry standard pinout., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full 0.75
watt output at 85&deg;C.","12V 63mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
CMR0505SA3C,,"5V 150mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CMR series are a cost effective 0.75W DC-DC converter series, in an industry standard packagewith industry standard pinouts., Popular input and output voltages are available as a lower power alternative to a 1W DC-DC converter. The galvanic isolation allows the device to be configured toprovide an isolated negative rail in systems where only positive rails exist. The wide temperatur range guarantees startup from -40&deg;C and full 0.75 watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input"
