sku,name,dimension,dimensions_mm,store_view_code
NXE1S0305MC,NXE1S0305MC,0.410 x 0.500 x 0.172,10.41 x 12.70 x 4.36,
NXE1S0505MC,NXE1S0505MC,0.410 x 0.500 x 0.172,10.41 x 12.70 x 4.36,
NXE1S0303MC,NXE1S0303MC,0.410 x 0.500 x 0.172,10.41 x 12.70 x 4.36,
NXE2S0505MC,NXE2S0505MC,0.410 x 0.500 x 0.174,10.41 x 12.70 x 4.36,
NXE2S1205MC,NXE2S1205MC,0.410 x 0.500 x 0.174,10.41 x 12.70 x 4.36,
NXE2S1212MC,NXE2S1212MC,0.410 x 0.500 x 0.174,10.41 x 12.70 x 4.36,
NXE2S1215MC,NXE2S1215MC,0.410 x 0.500 x 0.174,10.41 x 12.70 x 4.36,
NXJ1S0505MC,NXJ1S0505MC,0.412 x 0.540 x 0.164,10.46 x 13.72 x 4.16,
NXJ1S1205MC,NXJ1S1205MC,0.412 x 0.540 x 0.164,10.46 x 13.72 x 4.16,
NXJ1S1212MC,NXJ1S1212MC,0.412 x 0.540 x 0.164,10.46 x 13.72 x 4.16,
NXJ1S1215MC,NXJ1S1215MC,0.412 x 0.540 x 0.164,10.46 x 13.72 x 4.16,
NXJ1S0303MC,NXJ1S0303MC,0.412 x 0.540 x 0.172,10.46 x 13.72 x 4.36,
NXJ1S0305MC,NXJ1S0305MC,0.412 x 0.540 x 0.172,10.46 x 13.72 x 4.36,
LME0305SC,LME0305SC,0.450 x 0.236 x 0.393,11.48 x 6.00 x 10.00,
CME0505SC,CME0505SC,0.450 x 0.236 x 0.393,11.48 x 6.00 x 10.00,
CME0512S3C,CME0512S3C,0.454 x 0.240 x 0.294,11.53 x 6.10 x 7.46,
CME0505S3C,CME0505S3C,0.454 x 0.240 x 0.294,11.53 x 6.10 x 7.46,
CME0305S3C,CME0305S3C,0.454 x 0.240 x 0.294,11.53 x 6.10 x 7.46,
CME0303S3C,CME0303S3C,0.454 x 0.240 x 0.294,11.53 x 6.10 x 7.46,
NME0505SC,NME0505SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME0509SC,NME0509SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME0512SC,NME0512SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME0515SC,NME0515SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME0524SC,NME0524SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME1205SC,NME1205SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME1209SC,NME1209SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME1212SC,NME1212SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME1215SC,NME1215SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME1515SC,NME1515SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME2405SC,NME2405SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME2412SC,NME2412SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
CME0512SC,CME0512SC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME0505SPC,NME0505SPC,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10.00,
NME0505DC,NME0505DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME0509DC,NME0509DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME0512DC,NME0512DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME0515DC,NME0515DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME0524DC,NME0524DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME1205DC,NME1205DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME1212DC,NME1212DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME1215DC,NME1215DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
NME2405DC,NME2405DC,0.457 x 0.390 x 0.272,11.6 x 9.9 x 6.9,
