sku,name,efficiency,input_current,vin_range,mounting_type,i1out,i2out,output_power_total_w,v1out_vdc,v1out_vdc_number,v1out_range_vdc,v2out_vdc,v3out_vdc,package_style,quality,ripple_noise,store_view_code,errors
NTA0503MC,NTA0503MC,77,259,"4.5 to 5.5","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
NTA0503MC-R,NTA0503MC-R,77,259,"4.5 to 5.5","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
MTC2S1203MC,MTC2S1203MC,78.5,210,"9 to 18","Surface Mount",0.606,,2,3.3,3.3,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",40,,
MTC2S1205MC,MTC2S1205MC,80,210,"9 to 18","Surface Mount",0.4,,2,5,5,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",45,,
MTC2S1212MC,MTC2S1212MC,83.5,200,"9 to 18","Surface Mount",0.167,,2,12,12,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",45,,
MTC2S2403MC,MTC2S2403MC,78.5,110,"18 to 36","Surface Mount",0.606,,2,3.3,3.3,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",55,,
MTC2S2405MC,MTC2S2405MC,79.5,100,"18 to 36","Surface Mount",0.4,,2,5,5,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",35,,
MTC2S2412MC,MTC2S2412MC,81.5,100,"18 to 36","Surface Mount",0.167,,2,12,12,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",50,,
NTA0303MC,NTA0303MC,75,402,"2.97 to 3.63","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
NTA0303MC-R,NTA0303MC-R,75,402,"2.97 to 3.63","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
NTA0305MC,NTA0305MC,78,388,"2.97 to 3.63","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0305MC-R,NTA0305MC-R,78,388,"2.97 to 3.63","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0309MC,NTA0309MC,75,405,"2.97 to 3.63","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0309MC-R,NTA0309MC-R,75,405,"2.97 to 3.63","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0312MC,NTA0312MC,77,390,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0312MC-R,NTA0312MC-R,77,390,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0315MC,NTA0315MC,77,392,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA0315MC-R,NTA0315MC-R,77,392,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA0505MC,NTA0505MC,69,290,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
NTA0505MC-R,NTA0505MC-R,69,290,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
NTA0505MEC,NTA0505MEC,80,251,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0505MEC-R,NTA0505MEC-R,80,251,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0509MC,NTA0509MC,75,267,"4.5 to 5.5","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0509MC-R,NTA0509MC-R,75,267,"4.5 to 5.5","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0512MC,NTA0512MC,77,260,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0512MC-R,NTA0512MC-R,77,260,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0515MC,NTA0515MC,78,256,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA0515MC-R,NTA0515MC-R,78,256,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA1205MC,NTA1205MC,69,121,"10.8 to 13.2","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
