sku,store_view_code,name,rfm_grade
AFERO-BL24-01,,Afero ASR-1,Consumer
DR-WLS1273L-102,,DR-WLS1273L-102,Industrial
WSM-BL241-ADA-008,,MBN52832,Consumer
mQ100 & mQ200,,mQ100/mQ200,Consumer
88-00153-00,,SN8000,Industrial
88-00153-02,,SN8000UFL,Industrial
88-00151-00,,SN8200,Industrial
88-00151-95,,SN8200-EVK,Industrial
88-00151-02,,SN8200UFL,Industrial
88-00151-97,,SN8200UFL-EVK,Industrial
88-00158-00,,SN8205,Industrial
88-00158-95,,SN8205-EVK,Industrial
88-00158-02,,SN8205UFL,Industrial
88-00158-97,,SN8205UFL-EVK,Industrial
"88-00158-00, 88-00158-02",,SN820X,Industrial
WSC-WB242-ADA-SM1,,SprIoT 6UL,Consumer
LBWB1ZZ1AD,,Type 1AD Certified for Ayla IoT Cloud software,Consumer
LBWA1CS1AD,,Type 1AD for Ayla IoT Cloud software,Consumer
LBEH5DU1BW,,Type 1BW,Consumer
LBMA15Q1BX,,Type 1BX,Consumer
LBWA1ZV1CD,,Type 1CD - imp003,Consumer
LBEE5ZZ1CK,,Type 1CK,Consumer
LBEE5U91CQ,,Type 1CQ,Consumer
LBEH5UL1CX,,Type 1CX,Consumer
LBEE5KL1DX,,Type 1DX,Consumer
LBBA0ZZ1EU-951,,Type 1EU,Industrial
LBEE1ZZ1FJ,,Type 1FJ,Consumer
LBWA1KL1FX,,Type 1FX,Consumer
LBWA1UZ1GC,,Type 1GC,Consumer
LBWA1UZ1GC-901,,Type 1GC-imp005,Consumer
LBCA1CW1GR,,Type 1GR,Consumer
LBWA1ZZ1HD,,Type 1HD,Consumer
LBWA1ZZ1JP,,Type 1JP,Consumer
LBWA1ZZ1JQ,,Type 1JQ,Consumer
LBWA1ZZ1KP,,Type 1KP,Consumer
LBWA1ZZ1KQ,,Type 1KQ,Consumer
LBWA1ZZ1KR,,Type 1KR,Consumer
LBWA1ZZ1KS,,Type 1KS,Consumer
LBEE5PA1LD,,Type 1LD,Consumer
LBEE5PA1LD-222,,Type 1LD-Ayla,Consumer
LBEE59B1LV,,Type 1LV,Consumer
LBEE5ZZ1MD,,Type 1MD - imp004m,Consumer
LBEE5HY1MW,,Type 1MW,Consumer
LBEE5ZZ1PJ,,Type 1PJ,Consumer
LBWA1UZ1PS ,,Type 1PS ,Consumer
CMEN1ZZABH,,Type ABH,Consumer
CMWC1ZZABR,,Type ABR,Consumer
CMWX1ZZABZ,,Type ABZ,Consumer
CMWX1ZZABZ-104,,Type ABZ-104,Consumer
LBEH17YSHC,,Type SH,Consumer
LBWA19XSLZ,,Type SL,Consumer
LBEE5ZSTNC,,Type TN,Consumer
LBMA1BGUG2,,Type UG,Consumer
LBEH59XUHC,,Type UH,Consumer
LBEH5Z9UWC,,Type UW,Consumer
LBWA1ZZVK7-539,,Type VK,Consumer
LBCA2ZZVZE,,Type VZ,Consumer
LBEP5CLWMC-633,,Type WM,Consumer
LBCA2ZXWSE,,Type WS,Consumer
LBEP5CLWTC-631,,Type WT,Consumer
LBEH5Z4XLC,,Type XL,Consumer
LBEP5CLXRC,,Type XR,Industrial
LBWA1ZVYDZ,,Type YD,Consumer
LBWB1ZZYDZ-740,,Type YD-Certified,Consumer
LBWB1ZZYDZ-BTEMP-AYLAKIT,,Type YDD for Ayla IoT Cloud software,Consumer
LBWA1ZVZDZ,,Type ZD,Consumer
LBCA2BZZFZ,,Type ZF,Consumer
LBEH5HMZPC,,Type ZP,Consumer
LBEH5HMZPC-TEMP -D ,,Type ZP Daughter Card,Consumer
LBEH5HMZPC-TEMP -AA,,Type ZP Mother Board,Consumer
LBWA17DZX6,,Type ZX,Consumer
LBCA2HNZYZ,,Type ZY,Consumer
WSN802G,,WSN802GX,Industrial
AFERO-BL24-01,wireless_store_view,,Consumer
DR-WLS1273L-102,wireless_store_view,,Industrial
WSM-BL241-ADA-008,wireless_store_view,,Consumer
mQ100 & mQ200,wireless_store_view,,Consumer
88-00153-00,wireless_store_view,,Industrial
88-00153-02,wireless_store_view,,Industrial
88-00151-00,wireless_store_view,,Industrial
88-00151-95,wireless_store_view,,Industrial
88-00151-02,wireless_store_view,,Industrial
88-00151-97,wireless_store_view,,Industrial
88-00158-00,wireless_store_view,,Industrial
88-00158-95,wireless_store_view,,Industrial
88-00158-02,wireless_store_view,,Industrial
88-00158-97,wireless_store_view,,Industrial
"88-00158-00, 88-00158-02",wireless_store_view,,Industrial
WSC-WB242-ADA-SM1,wireless_store_view,,Consumer
LBWB1ZZ1AD,wireless_store_view,,Consumer
LBWA1CS1AD,wireless_store_view,,Consumer
LBEH5DU1BW,wireless_store_view,,Consumer
LBMA15Q1BX,wireless_store_view,,Consumer
LBWA1ZV1CD,wireless_store_view,,Consumer
LBEE5ZZ1CK,wireless_store_view,,Consumer
LBEE5U91CQ,wireless_store_view,,Consumer
LBEH5UL1CX,wireless_store_view,,Consumer
LBEE5KL1DX,wireless_store_view,,Consumer
LBBA0ZZ1EU-951,wireless_store_view,,Industrial
LBEE1ZZ1FJ,wireless_store_view,,Consumer
LBWA1KL1FX,wireless_store_view,,Consumer
LBWA1UZ1GC,wireless_store_view,,Consumer
LBWA1UZ1GC-901,wireless_store_view,,Consumer
LBCA1CW1GR,wireless_store_view,,Consumer
LBWA1ZZ1HD,wireless_store_view,,Consumer
LBWA1ZZ1JP,wireless_store_view,,Consumer
LBWA1ZZ1JQ,wireless_store_view,,Consumer
LBWA1ZZ1KP,wireless_store_view,,Consumer
LBWA1ZZ1KQ,wireless_store_view,,Consumer
LBWA1ZZ1KR,wireless_store_view,,Consumer
LBWA1ZZ1KS,wireless_store_view,,Consumer
LBEE5PA1LD,wireless_store_view,,Consumer
LBEE5PA1LD-222,wireless_store_view,,Consumer
LBEE59B1LV,wireless_store_view,,Consumer
LBEE5ZZ1MD,wireless_store_view,,Consumer
LBEE5HY1MW,wireless_store_view,,Consumer
LBEE5ZZ1PJ,wireless_store_view,,Consumer
LBWA1UZ1PS ,wireless_store_view,,Consumer
CMEN1ZZABH,wireless_store_view,,Consumer
CMWC1ZZABR,wireless_store_view,,Consumer
CMWX1ZZABZ,wireless_store_view,,Consumer
CMWX1ZZABZ-104,wireless_store_view,,Consumer
LBEH17YSHC,wireless_store_view,,Consumer
LBWA19XSLZ,wireless_store_view,,Consumer
LBEE5ZSTNC,wireless_store_view,,Consumer
LBMA1BGUG2,wireless_store_view,,Consumer
LBEH59XUHC,wireless_store_view,,Consumer
LBEH5Z9UWC,wireless_store_view,,Consumer
LBWA1ZZVK7-539,wireless_store_view,,Consumer
LBCA2ZZVZE,wireless_store_view,,Consumer
LBEP5CLWMC-633,wireless_store_view,,Consumer
LBCA2ZXWSE,wireless_store_view,,Consumer
LBEP5CLWTC-631,wireless_store_view,,Consumer
LBEH5Z4XLC,wireless_store_view,,Consumer
LBEP5CLXRC,wireless_store_view,,Industrial
LBWA1ZVYDZ,wireless_store_view,,Consumer
LBWB1ZZYDZ-740,wireless_store_view,,Consumer
LBWB1ZZYDZ-BTEMP-AYLAKIT,wireless_store_view,,Consumer
LBWA1ZVZDZ,wireless_store_view,,Consumer
LBCA2BZZFZ,wireless_store_view,,Consumer
LBEH5HMZPC,wireless_store_view,,Consumer
LBEH5HMZPC-TEMP -D ,wireless_store_view,,Consumer
LBEH5HMZPC-TEMP -AA,wireless_store_view,,Consumer
LBWA17DZX6,wireless_store_view,,Consumer
LBCA2HNZYZ,wireless_store_view,,Consumer
WSN802G,wireless_store_view,,Industrial
