sku,name,store_view_code,short_description,dimension,dimensions_mm,line_regulation_max,load_regulation_max,i2out,output_power_total_w,series_description,total_output_power_w,errors
NMD050512SC,NMD050512SC,,"5V/5V 100mA/100mA, Isolated 1W Dual Output  1kVDC, DC-DC Converter, 4.5-9V Input",,,,,,,,,
NMD050515SC,NMD050515SC,,"5V/5V 100mA/100mA, Isolated 1W Dual Output  1kVDC, DC-DC Converter, 4.5-9V Input",,,,,,,,,
NME0505DC,NME0505DC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0505SC,NME0505SC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0509DC,NME0509DC,,"9V 111mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0509SC,NME0509SC,,"9V 111mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0512DC,NME0512DC,,"12V 83mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0512SC,NME0512SC,,"12V 83mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0515DC,NME0515DC,,"15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0515SC,NME0515SC,,"15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0524DC,NME0524DC,,"24V 42mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME0524SC,NME0524SC,,"24V 42mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",,,,,,,,,
NME1205DC,NME1205DC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1205SC,NME1205SC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1209SC,NME1209SC,,"9V 111mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1212DC,NME1212DC,,"12V 83mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1212SC,NME1212SC,,"12V 83mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1215DC,NME1215DC,,"15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1215SC,NME1215SC,,"15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",,,,,,,,,
NME1515SC,NME1515SC,,"15V 67mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 13.5-16.5V Input",,,,,,,,,
NME2405DC,NME2405DC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 21.6-26.4V Input",,,,,,,,,
