sku,store_view_code,name,dimension,dimensions_mm,efficiency,form_factor,i1out,load_regulation_max,measuring_range,series,total_output_power_w,v1out_vdc,v2out_vdc,vin_nominal,vin_range,product_type
4401809-1,,D1U3CS-D-1600-12-HC4EC,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8401804,,D1U3CS-D-850-12-HC3C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8801749,,D1U3CS-D-850-12-HC4C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8801734,,D1U3CS-W-1200-12-HA3C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8801735,,D1U3CS-W-1200-12-HA4C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8801736,,D1U3CS-W-1200-12-HC3C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8801737,,D1U3CS-W-1200-12-HC4C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
4401842-1,,D1U3CS-W-1300F-12-HA4EC,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
4401820-1,,D1U3CS-W-1300F-12-HC4EC,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
8801730,,D1U3CS-W-850-12-HC3C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
4401731-3,,D1U3CS-W-850-12-HC4C,,,,1U x 81.30 x 279.40,,,,,,,,,,simple
4401706-1,,D1U4CS-W-2200-12-HA3C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
4401699-6,,D1U4CS-W-2200-12-HA4C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
4401707-5,,D1U4CS-W-2200-12-HC3C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
4401708-2,,D1U4CS-W-2200-12-HC4C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1200-12-HA1C,,D1U4-W-1200-12-HA1C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1200-12-HA2C,,D1U4-W-1200-12-HA2C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1200-12-HC1C,,D1U4-W-1200-12-HC1C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1200-12-HC2C,,D1U4-W-1200-12-HC2C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1600-12-HA1C,,D1U4-W-1600-12-HA1C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1600-12-HA2C,,D1U4-W-1600-12-HA2C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1600-12-HC1C,,D1U4-W-1600-12-HC1C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
D1U4-W-1600-12-HC2C,,D1U4-W-1600-12-HC2C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
4401793-3,,D1U4-W-1600-54-HB3C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
4401843,,D1U4-W-1600-54-HB4C,,,,1U x 101.60 x 355.60,,,,,,,,,,simple
4401853-1,,D1U54-D-1200-12-HA3PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401851-1,,D1U54-D-1200-12-HA4PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401852-1,,D1U54-D-1200-12-HC3PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401828-1,,D1U54-D-1200-12-HC4PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401898-1,,D1U54-D-1500-12-HA3C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401897-1,,D1U54-D-1500-12-HA4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401903-1,,D1U54-D-1500-12-HB4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401901-1,,D1U54-D-1500-12-HC3C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401900-1,,D1U54-D-1500-12-HC4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401920-1,,D1U54-D-450-12-HA3C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
4401919-1,,D1U54-D-450-12-HA4C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
4401879-1,,D1U54-D-650-12-HB3C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
4401878-1,,D1U54-D-650-12-HB4C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
4401970-1,,D1U54-D-800-12-HB3BC,,,,1U x 54.5 x 236.6,,,,,,,,,,simple
4401971-1,,D1U54-D-800-12-HB4BC,,,,1U x 54.5 x 236.6,,,,,,,,,,simple
4405004-1,,D1U54-HD-1200-12-HA4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4402002-1,,D1U54P-M-800-12-HB3BC,,,,1U x 54.5 x 236.6,,,,,,,,,,simple
4402001-1,,D1U54P-M-800-12-HB4BC,,,,1U x 54.5 x 236.6,,,,,,,,,,simple
4401802-1,,D1U54P-W-1200-12-HA3PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401803-1,,D1U54P-W-1200-12-HA4PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401801-1,,D1U54P-W-1200-12-HC3PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401792-2,,D1U54P-W-1200-12-HC4PC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401894-2,,D1U54P-W-1500-12-HA3TC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401893-2,,D1U54P-W-1500-12-HA4TC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401895-2,,D1U54P-W-1500-12-HB4TC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401892-2,,D1U54P-W-1500-12-HC3TC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401891-2,,D1U54P-W-1500-12-HC4TC,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401966-1,,D1U54P-W-2000-12-HA3C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401959-1,,D1U54P-W-2000-12-HA4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401965-1,,D1U54P-W-2000-12-HB3C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401958-1,,D1U54P-W-2000-12-HB4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401967-1,,D1U54P-W-2000-12-HC3C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401960-1,,D1U54P-W-2000-12-HC4C,,,,1U x 54.5 x 321.5,,,,,,,,,,simple
4401910-1,,D1U54P-W-450-12-HA3C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
8401909-1,,D1U54P-W-450-12-HA4C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
8401908-1,,D1U54P-W-450-12-HB3C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
8401907-1,,D1U54P-W-450-12-HB4C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
4401877-1,,D1U54P-W-650-12-HB3C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
4401876-1,,D1U54P-W-650-12-HB4C,,,,1U x 54.5 x 228.6,,,,,,,,,,simple
D1U-H-2800-52-HB1C,,D1U-H-2800-52-HB1C,,,,1U x 140 x 289,,,,,,,,,,simple
D1U-H-2800-52-HB1DC,,D1U-H-2800-52-HB1DC,,,,1U x 140 x 289,,,,,,,,,,simple
D1U-W-1200-12-HA1C,,D1U-W-1200-12-HA1C,,,,1U x 120.65 x 304.80,,,,,,,,,,simple
D1U-W-1200-12-HA2,,D1U-W-1200-12-HA2,,,,1U x 120.65 x 304.80,,,,,,,,,,simple
D1U-W-1200-12-HA2C,,D1U-W-1200-12-HA2C,,,,1U x 120.65 x 304.80,,,,,,,,,,simple
