sku,store_view_code,name,base_image,small_image,thumbnail_image,additional_images
8941407,,OKX-T/3-D12N-C,/1/0/102x180_okx_t3-5-d12-w5_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_1_3.jpg
8941403,,OKX-T/3-W5N-C,/1/0/102x180_okx_t3-5-d12-w5_2_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_2_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_2_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_2_1_3.jpg
8941402,,OKX-T/3-W5P-C,/1/0/102x180_okx_t3-5-d12-w5_2_4.jpg,/1/0/102x180_okx_t3-5-d12-w5_2_4.jpg,/1/0/102x180_okx_t3-5-d12-w5_2_4.jpg,/1/0/102x180_okx_t3-5-d12-w5_2_4.jpg
8941409,,OKX-T/5-D12N-C,/1/0/102x180_okx_t3-5-d12-w5_3_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_1_3.jpg
8941405,,OKX-T/5-W5N-C,/1/0/102x180_okx_t3-5-d12-w5_3_2_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_2_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_2_1_3.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_2_1_3.jpg
8941404,,OKX-T/5-W5P-C,/1/0/102x180_okx_t3-5-d12-w5_3_2_4.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_2_4.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_2_4.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_2_4.jpg
8941408,,OKX-T/5-D12P-C,/1/0/102x180_okx_t3-5-d12-w5_3_5.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_5.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_5.jpg,/1/0/102x180_okx_t3-5-d12-w5_3_5.jpg
8941406,,OKX-T/3-D12P-C,/1/0/102x180_okx_t3-5-d12-w5_6.jpg,/1/0/102x180_okx_t3-5-d12-w5_6.jpg,/1/0/102x180_okx_t3-5-d12-w5_6.jpg,/1/0/102x180_okx_t3-5-d12-w5_6.jpg
8944002,,7803SRH-C,/1/8/180x102_7805srh-c_3.jpg,/1/8/180x102_7805srh-c_3.jpg,/1/8/180x102_7805srh-c_3.jpg,/1/8/180x102_7805srh-c_3.jpg
8944005,,7805SRH-C,/1/8/180x102_7805srh-c_3.jpg,/1/8/180x102_7805srh-c_3.jpg,/1/8/180x102_7805srh-c_3.jpg,/1/8/180x102_7805srh-c_3.jpg
